ID1	ID2	MeSH Tree Number 1	MeSH Tree Number 2
D000073872	D001015	C14.907.109.239.825	C14.907.109.239
D000073872	D054079	C14.240.850.992	C14.240.850
D000073923	D012817	C23.888.821.387	C23.888.821
D000074009	D006607	C04.557.470.550.175.900	C04.557.470.550.175
D000074009	D006607	C04.557.470.035.175.900	C04.557.470.035.175
D000074021	D006327	C14.280.067.558.430	C14.280.067.558
D000074021	D006327	C14.280.123.500.430	C14.280.123.500
D000074021	D006327	C23.550.073.425.270	C23.550.073.425
D000074042	D002543	C14.907.253.573.200.600	C14.907.253.573.200
D000074042	D002543	C10.228.140.300.535.200.600	C10.228.140.300.535.200
D000074042	D002543	C23.550.414.913.100.600	C23.550.414.913.100
D000074079	D003240	C17.300.849	C17.300
D000074079	D001327	C20.111.904	C20.111
D000074270	D007415	C06.405.469.531.788	C06.405.469.531
D000074607	D009293	C25.775.643.500.800	C25.775.643.500
D000074723	D009385	C23.550.727.850	C23.550.727
D000074723	D009385	C04.697.850	C04.697
D000074742	D054079	C14.240.850.922	C14.240.850
D000074742	D001157	C14.907.137.527	C14.907.137
D000074742	D054079	C16.131.240.850.898	C16.131.240.850
D000074742	D004065	C06.198.929	C06.198
D000074924	D005512	C20.543.480.370.572	C20.543.480.370
D000074962	D017202	C14.280.647.375	C14.280.647
D000074962	D017202	C14.907.585.375	C14.907.585
D000074962	D006967	C20.543.560	C20.543
D000075067	D019966	C25.775.814	C25.775
D000075122	D010265	C15.378.147.780.838	C15.378.147.780
D000075122	D011230	C04.834.794	C04.834
D000075122	D006942	C20.683.460.820	C20.683.460
D000075122	D010265	C20.683.780.838	C20.683.780
D000075122	D006942	C15.378.147.542.820	C15.378.147.542
D000075222	D006973	C14.907.489.165	C14.907.489
D000075224	D006331	C14.280.123	C14.280
D000075262	D000224	C19.053.500.263.500	C19.053.500.263
D000075322	D011041	C25.723.522	C25.723
D000075363	D010265	C20.683.780.565	C20.683.780
D000075363	D000686	C18.452.845.500.550	C18.452.845.500
D000075363	D054219	C04.557.595.250	C04.557.595
D000075363	D008232	C20.683.515.507	C20.683.515
D000075529	D014564	C12.050.351.875.846	C12.050.351.875
D000075529	D014564	C12.200.706.846	C12.200.706
D000075529	D014564	C12.800.846	C12.800
D000075529	D020763	C23.300.925	C23.300
D000075562	D006212	C10.597.606.762.300.500	C10.597.606.762.300
D000075562	D006212	C23.888.592.604.764.300.500	C23.888.592.604.764.300
D000075662	D064420	C25.100.781	C25.100
D000075662	D005119	C23.550.340.500	C23.550.340
D000075902	D018450	C23.550.291.656.350	C23.550.291.656
D000076042	D000425	C10.720.112.100.250	C10.720.112.100
D000076042	D000425	C25.775.100.087.193.100.250	C25.775.100.087.193.100
D000076042	D020915	C23.888.592.604.529.400.500	C23.888.592.604.529.400
D000076042	D020915	C10.597.606.525.400.500	C10.597.606.525.400
D000076042	D000425	C25.723.705.150.100.250	C25.723.705.150.100
D000076064	D019966	C25.775.342	C25.775
D000076082	D012816	C23.888.914	C23.888
D000076263	D003141	C01.221.625	C01.221
D000076263	D003141	C23.550.291.531.875	C23.550.291.531
D000076385	D005759	C06.405.205.282	C06.405.205
D000076984	D001720	C16.614.131.294	C16.614.131
D000076984	D020516	C10.668.829.100.750	C10.668.829.100
D000076984	D001720	C26.141.294	C26.141
D000077162	D009423	C10.551.568	C10.551
D000077192	D008175	C04.588.894.797.520.055	C04.588.894.797.520
D000077192	D000230	C04.557.470.200.025.022	C04.557.470.200.025
D000077195	D002294	C04.557.470.200.400.565	C04.557.470.200.400
